tag,case,parameter,median,err_low_percival,err_high_percival,ml,ncall,logz,logzerr
LCp50,xi_r100_350,b1,2.5698564571228073,0.5721132234795836,0.5818151332382016,2.751198174595713,38497,-10.009530236273681,0.24777558718483308
LCp50,xi_r100_350,sigmas,12.532880476929295,8.9951143046986,11.153473770180723,9.813323780475141,38497,-10.009530236273681,0.24777558718483308
LCp50,xi_r100_350,sn0,5.9245473874437255e-05,0.0009705708203350164,0.001036898793035555,9.317430023370044e-05,38497,-10.009530236273681,0.24777558718483308
LCp100,pk_binavg,fnl_loc,95.32129883029079,68.75253133627423,72.12322316016272,102.92450278449473,75533,-8.043710472570181,0.24741738189557858
LCp100,pk_binavg,b1,2.6340454289970077,0.15892004097854853,0.1787963135478259,2.6747420253264096,75533,-8.043710472570181,0.24741738189557858
LCp100,pk_binavg,sigmas,5.7631945025809825,4.011403586525731,4.697354554121901,0.13946145519238146,75533,-8.043710472570181,0.24741738189557858
LCp100,pk_binavg,sn0,0.47027335206608734,0.4707200480771302,0.3710971740113206,0.08922061435196382,75533,-8.043710472570181,0.24741738189557858
LCp100,xi_r50_350,fnl_loc,109.921527668355,88.44768061022471,109.1133015178656,104.17631511241939,35200,-12.201336120591213,0.49407911002411337
LCp100,xi_r50_350,b1,2.514326290672003,0.2785259240169468,0.26142548707152835,2.606984860361502,35200,-12.201336120591213,0.49407911002411337
LCp100,xi_r50_350,sigmas,10.901134770632513,4.994336357406404,7.646853465647833,9.26443825963665,35200,-12.201336120591213,0.49407911002411337
LCp100,xi_r50_350,sn0,0.00017473548663837754,0.0007674972585830155,0.0007528320338965333,-2.1015466019735918e-05,35200,-12.201336120591213,0.49407911002411337
LCp100,xi_r60_350,fnl_loc,110.01103488926408,93.15054424138386,117.35337595917912,98.67759008890675,36083,-11.649885579852478,0.42868059790909513
LCp100,xi_r60_350,b1,2.5139090100628017,0.3292901506196033,0.3167594842150968,2.6451036994275143,36083,-11.649885579852478,0.42868059790909513
